ID,Business (DM),Website,Account Industry Vertical,P&L Region
331,3M China,http://www.3m.com/,CME & Tech,Asia
307,3P,http://www.3pcorporate.com/,,Southern Europe
5059,A O Smith Corporation,https://www.aosmith.com/,Consumer Industries & Retail,Americas
291,A. P. Moller-Maersk Group,http://www.maersk.com/,Travel & Transportation,Northern and Central Europe
2667,A2A,https://www.a2a.eu/,Energy,Southern Europe
3830,AAB Sweets and Snacks-Singapore,aabsweets.com.sg,,Asia
3230,Aalto University,http://www.aalto.fi/fi/,Public Sector,Northern and Central Europe
336,Aap Telecommunications,https://www.aapt.com.au/,,ANZ
370,AB InBev Holdings Europe,https://www.ab-inbev.com/,Consumer Industries & Retail,UKIIMEA
3831,AB India,https://www.abindia.co.in/,,Asia
4584,AB Storstockholms Lokaltrafik,https://sl.se/en/,Travel & Transportation,Northern and Central Europe
2379,Abast,http://www.abast.es/,Consumer Industries & Retail,Southern Europe
3675,ABB,https://new.abb.com/ch,Manufacturing,Northern and Central Europe
4076,ABB Brazil,https://new.abb.com/br,,Americas
1878,Abbott Laboratories,http://www.abbott.com/,Healthcare & Life Sciences,Americas
3838,Abbott Medical Optics (Johnson & Johnson),https://www.surgical.jnjvision.com/,,Asia
330,AbbVie,http://www.abbvie.com/,Healthcare & Life Sciences,Americas
4077,ABC-Mart,http://www.abc-mart.co.jp/english/rekishieng.html,,Americas
556,Abertis,http://www.abertis.com/,Travel & Transportation,Southern Europe
2228,ABN AMRO Bank,https://www.abnamro.com/,Banking & Capital Markets,Northern and Central Europe
4948,Aboitiz Equity Ventures,https://aboitiz.com/,,Asia
233,ABR Telecom,https://www.abrtelecom.com.br/,CME & Tech,Americas
3689,Abu Dhabi Investment Authority,https://www.adib.ae/en,,UKIIMEA
2937,ABX,http://www.abx.de/,,Northern and Central Europe
3168,AC Milan,www.acmilan.com,Consumer Industries & Retail,Southern Europe
1743,Accenture (NUMSI),http://www.accenture.com/,,Northern and Central Europe
1742,Accenture (Vake),http://www.accenture.com/,,Northern and Central Europe
3260,Accenture Services Oy,https://www.accenture.com/fi-en/company-about-accenture-finland,CME & Tech,Northern and Central Europe
5060,Accident Fund Holdings Inc.,http://www.accidentfund.com/,Insurance,Americas
4078,Accident Insurance Company,http://www.accinsco.com/,,Americas
352,Acciona,http://www.acciona.es/,Energy,Southern Europe
2535,ACCO Brands,https://www.accobrands.com/,Consumer Industries & Retail,Americas
705,Accor,http://www.accorhotels-group.com/,Travel & Transportation,Southern Europe
4955,Accord Healthcare,https://www.accord-healthcare.com/,Healthcare & Life Sciences,UKIIMEA
308,Accovion,http://www.accovion.com/,,Northern and Central Europe
3490,ACDE Conseil,http://acde-conseil.com/,,Southern Europe
4079,ACE Insurance,https://aceinsurancegroup.com/,,Americas
3133,Aconex,https://www.aconex.com,Energy,ANZ
4969,Acoss,https://www.acoss.fr/home.html,Public Sector,Southern Europe
4385,ACQIO Pagamentos,https://acqio.com.br/,Consumer Industries & Retail,Americas
2404,Addiko Bank,https://www.addiko.com/,Banking & Capital Markets,Northern and Central Europe
3,Adecco,http://www.adecco.com/,Consumer Industries & Retail,Southern Europe
4,Adidas,http://www.adidas-group.com/,Consumer Industries & Retail,Northern and Central Europe
2132,Adidas (Hong Kong),http://www.adidas.com.hk/,Consumer Industries & Retail,Asia
2810,Adient Asia Holdings,http://www.adient.com/,Manufacturing,Asia
3221,Adient Germany,https://www.adient.com/,Manufacturing,Northern and Central Europe
4080,Adient US,https://www.adient.com/,Manufacturing,Americas
3665,Aditya Birla Fashion & Retail,http://www.abfrl.com/,,Asia
5298,"ADMA biologics(US), INC",https://www.admabiologics.com/,Healthcare & Life Sciences,Americas
2152,Administradora de Fondos de Pensiones ProVida,http://www.provida.cl/,,Americas
2014,Adobe Systems,http://www.adobe.com/,,Americas
3175,ADP Automatic Data Processing,https://www.adp.com/,CME & Tech,Americas
3771,Advantest,https://www.advantest.com/,,Asia
5061,"Adventist Health System (Sunbelt, Inc.)",https://www.adventhealth.com/,Healthcare & Life Sciences,Americas
4448,AEA International Holdings,http://www.aeainvestors.com/,CME & Tech,Asia
4794,Aecom Technology Corporation,https://www.aecom.com/,CME & Tech,UKIIMEA
3356,Aecon,http://www.aecon.com/,Manufacturing,Americas
3058,Aegea,http://www.aegea.com.br/en/,Public Sector,Americas
4081,Aegon Direct Marketing Services,https://www.aegon.com/home/,,Americas
