AccountName,Region,SubIndustry,Industry,IAName,ClientIdea,BusinessTrend,TechnologyTrend,DigitalValueChain,ClientGoal,ClientKPI
Fannie Mae,Americas,Banking,Banking & Capital Markets,"Fannie Mae 2018 - Old version, no longer current",Securitization and Servicing - Common Securitization Platform Integration (CSPi) R1,Open APIs,null,Multi-Family,null,null
Fannie Mae,Americas,Banking,Banking & Capital Markets,"Fannie Mae 2018 - Old version, no longer current",Servicing,Mature DevOps approach and consolidated platform(s),null,Multi-Family,null,null
Fannie Mae,Americas,Banking,Banking & Capital Markets,"Fannie Mae 2018 - Old version, no longer current",Single Family Front End - Desktop Underwriter Future State,Cloud Native Applications,null,Single Family,null,null
Fannie Mae,Americas,Banking,Banking & Capital Markets,"Fannie Mae 2018 - Old version, no longer current",Single Family Front End - Integrated Feedback,Cloud Native Applications,null,Single Family,null,null
Fannie Mae,Americas,Banking,Banking & Capital Markets,"Fannie Mae 2018 - Old version, no longer current",Single Family - Loan Delivery,Open APIs,null,Multi-Family,null,null
Fannie Mae,Americas,Banking,Banking & Capital Markets,"Fannie Mae 2018 - Old version, no longer current",Single Family - Loan Delivery,Cloud Native Applications,null,Single Family,null,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Security,Connected car,null,Business Models,Safety,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Security,Connected car,null,Business Models,Shareholder value,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Security,Autonomous vehicles,null,Business Models,Safety,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Security,Autonomous vehicles,null,Business Models,Shareholder value,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Security,Digitised manufacturing,null,Manufacturing,Safety,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Security,Digitised manufacturing,null,Manufacturing,Shareholder value,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,New Service Models,null,Business Models,Shareholder value,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,New Service Models,null,Business Models,Employee Satisfaction,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,New Service Models,null,Business Models,Customer Satisfaction,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,Connected car,null,Business Models,Shareholder value,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,Connected car,null,Business Models,Employee Satisfaction,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,Connected car,null,Business Models,Customer Satisfaction,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,Autonomous vehicles,null,Business Models,Shareholder value,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,Autonomous vehicles,null,Business Models,Employee Satisfaction,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,Autonomous vehicles,null,Business Models,Customer Satisfaction,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,Digitised manufacturing,null,Manufacturing,Shareholder value,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,Digitised manufacturing,null,Manufacturing,Employee Satisfaction,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,Digitised manufacturing,null,Manufacturing,Customer Satisfaction,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,Digitised manufacturing,null,Product Development,Shareholder value,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,Digitised manufacturing,null,Product Development,Employee Satisfaction,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,Digitised manufacturing,null,Product Development,Customer Satisfaction,null
Aptiv PLC,"UK, Ireland, Israel, Middle East and Africa",High Tech,Manufacturing,Aptiv,Digital Core,Predictive Maintenance,null,Manufacturing,Shareholder value,null
