fname,type,fdescription,tgname,capability
neo4j,Component,Graph database platform,Foundational Core,graph database
Geo Distributed Datalake,Capability,Store, analyze and refine automotive data on hundreds of PB scale,Foundational Core,
Data Analyzer on Petabyte Scale,Capability,Distributed parallel processing on native automotive formats on sensor level,Foundational Core,
Car Data Ingestor,Capability,High speed ingest data from the car ,Foundational Core,
Autonomous Driving Data Optimizer,Capability,Adress exabyte volume problem by creating human/AI triggerd notifications into data signals,Foundational Core,
Autonomous Driving Trainer,Capability,Deep neuronal network training cluster with automated training job scheduling and distribution,Foundational Core,
Jenkins,Component,Open source automation server,System Management & Operations,automation
Sql Server Geography as GIS,Component,Sql Server Geography as GIS,Foundational Core,
Isothropic Algorithm for the attenuation sismc wave,Capability,Isothropic Algorithm for the attenuation sismc wave,Foundational Core,
Single Page Application with Angular,Component,Single Page Application with Angular,Foundational Core,
Hyperledger Fabric,Component,IBM Permissioned Ledger framework,Foundational Core,
Conversational Platforms,Capability,Conversational platform is a computer system intended to converse with a human, with a coherent structure. ,Foundational Core,
Natural Language Processing,Capability,NLP is the ability of a computer program to understand human language as it is spoken. NLP is a component of artificial intelligence (AI).,Foundational Core,
Thingworx,Component,IoT Solution Platform,Foundational Core,
KEPServerEX V6,Component,IIoT industrial devices, and systems Gateway ,Foundational Core,
Admin portal,Capability,Admin portal for managing user profiles, skills & topics,UX,
Android app for RealWear HMT-1,Component,Field worker app for initiating a new request,UX,
Win 10 desktop client,Component,Remote expert app for responding to incoming requests,UX,
Azure Data Factory ,Component,Orchestrates data pipeline workflow,Foundational Core,
Splunk/Dynatrace Analytics ITSI ,Component,Provides custom dashboards,Foundational Core,
Azure Stream Analytics,Component,Implements a CEP pipeline ,Foundational Core,
Ethereum DLT,Component,Open source public distributed ledger with Foundational Core development capablity,Foundational Core,
Modern, convenient and inviting dedicated customer-site location,Capability,Customer-site and provided location should match that of an Apple Store.,UX,
Smart Meter Data Management,Capability,Taking in and managing the data produced by Smart Meters,Foundational Core,
WAN connections,Capability,Three network connections are needed at the client user site: video conferencing; remote access; and corporate LAN.,Infrastructure,
Video Conferencing,Capability,Provides video and voice link between user and remote agent, a richer user experience than just the phone.,UX,
Video Kiosk equipment,Capability,Connect's users laptop and enables video conference and remote device access.,UX,
Contactless cards,Capability,Contactless smartcards,Foundational Core,
SAP Central Services,Component,SAP Central Services,Foundational Core,
PowerVM,Component,PowerVM,Infrastructure,
X88 Pandora,Component,Data Profiling & Discovery tool, pro-actively analysing any amounts of data from multiple systems and giving access to results,Foundational Core,
Innowera Process Runner,Component,Innowera Process Runner is an automation software tool that allows you to upload and download data between SAP and Excel,Foundational Core,
Redhat Fuse,Component,Integration Platform (ESB - Fuse and ActiveMQ),Foundational Core,
ELK Stack,Component,Centralized Log Analyses,Foundational Core,
Infinispan,Component,Centralized caching server,Foundational Core,
Redhat EAP,Component,JEE Application Server Platform,Foundational Core,
Cuckoo,Component,Opensource Automated Malware Analysis,Security,
Remote Worker,Component,The SME can initiate a takeover of the Remote Workers equipment to interact with the Remote Worker,UX,
IoT Sensor,Capability,Using a range of sensors (or single multi function sensors) to monitor a range of conditions,UX,
Node.js,Component,Node.js,Foundational Core,
GeoData,Capability,GeoData,Foundational Core,
Angular,Component,Angular,Foundational Core,
Roll-out,Capability,Roll-out,Foundational Core,
Migration,Capability,Migration,Foundational Core,
Upgrade,Capability,Upgrade,Foundational Core,
Testing,Capability,Testing,Foundational Core,
DevOps,Capability,DevOps,Foundational Core,
Virtual Desktop Infrastructure,Capability,Virtual Desktop Infrastructure,Infrastructure,
Cloud-native application,Capability,Cloud-native application,Infrastructure,
Web-portal,Capability,Web-portal,Foundational Core,
BPC SmartVista,Component,BPC SmartVista,Foundational Core,
VeriPark ,Capability,VeriPark ,Foundational Core,
Nucleus S/W � FINNONE,Component,Nucleus S/W � FINNONE,Foundational Core,
Finacle Core Banking,Component,Finacle Core Banking,Foundational Core,
Microsoft BizTalk Server,Component,Microsoft BizTalk Server,Foundational Core,
Genesys IVR,Component,Genesys IVR,Foundational Core,
Finacle Internet/Mobile Banking,Component,Finacle Internet/Mobile Banking,Foundational Core,
Hybrid cloud,Capability,Hybrid cloud,Infrastructure,
Digital Transformation Consulting,Capability,Digital Transformation Consulting,Foundational Core,
MES,Capability,Manufacturing Execution System,Foundational Core,
Price calculation,Capability,Price calculation,Foundational Core,
Quality measurement,Capability,Quality measurement,Foundational Core,
GPU Accelerated Analytics,Capability,GPU Accelerated Analytics,Foundational Core,
Windows Scripting,Component,Windows Scripting,Transactional Core,
Jira Stack,Component,Full Jira stack for application development,Transactional Core,
Windows application,Capability,Windows application,Foundational Core,
Wandisco,Component,Wandisco,Foundational Core,
Hortonworks Data Flow,Component,Hortonworks Data Flow,Foundational Core,
(Open Source) Big Data Suite ,Component,(Open Source) Big Data Suite ,Foundational Core,
Apigeee,Component,Apigeee,Foundational Core,
Informatica,Component,Informatica,Foundational Core,
BPS process,Capability,BPS process,Transactional Core,
Talend Data Management,Component,Talend Data Management,Foundational Core,
Vertica,Component,Vertica,Foundational Core,
Angular5,Component,Frontend presentation framework,Foundational Core,
Node.js,Component,open-source, cross-platform JavaScript run-time environment for executing JavaScript code server-side,Foundational Core,
Ansible ,Component,Ansible ,System Management & Operations,
IBM Watson,Component,IBM Watson,Foundational Core,
ConnectNow,Component,ConnectNow,System Management & Operations,
Azure AD,Component,Azure AD,System Management & Operations,
HPE Records Manager DataPort,Component,HPE Records Manager DataPort,Foundational Core,
Microsoft Excel,Component,Microsoft Office Spreadsheet software,Foundational Core,
Microsoft SQL Server,Component,Microsoft SQL Server,Foundational Core,
Visual Studio,Component,Microsoft Visual Studio,Foundational Core,
