S3_ID,Stack,Solution Theme,Solution,L3:DXC_ID,L3:Offering Family,L4:DXC_ID,L4:DXC Major Offering,DXC_ID,DXC Sub Offering,JUMLA_ID,Status:Title,Item Type,Path
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1006,Analytics Business Solutions,10056,DXC Customer Analytics,101-1006-10056,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1006,Analytics Business Solutions,10174,DXC Managed Advanced Analytics,101-1006-10174,End of Life,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1006,Analytics Business Solutions,10212,DXC Predictive Maintenance Analytics,101-1006-10212,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1006,Analytics Business Solutions,10215,Situational Awareness Analytics,101-1006-10215,End of Life,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1006,Analytics Business Solutions,10245,Social Analytics,101-1006-10245,End of Life,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1006,Analytics Business Solutions,10246,DXC Spend Analytics,101-1006-10246,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1006,Analytics Business Solutions,10277,XChanging Big Data and Analytics,101-1006-10277,End of Life,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1006,Analytics Business Solutions,10395,DXC Warranty Analytics,101-1006-10395,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1006,Analytics Business Solutions,10621,DXC Robotic Drive ,101-1006-10621,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1006,Analytics Business Solutions,10625,DXC Predictive ITSM Intelligence,101-1006-10625,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1006,Analytics Business Solutions,10634,DXC Trading Analytics,101-1006-10634,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1006,Analytics Business Solutions,10660,DXC Spare Parts Pricing Analytics,101-1006-10660,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1005,Data Engineering and Platforms,10010,DXC Analytics and AI Platform,101-1005-10010,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1005,Data Engineering and Platforms,10066,DXC Analytics Modernization and Migration Factory,101-1005-10066,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1005,Data Engineering and Platforms,10652,DXC Data Engineering and Utilities,101-1005-10652,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1009,DXC IoT Analytics (Restricted),10661,DXC IoT Analytics (Restricted) - PLACE HOLDER,101-1009-10661,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1048,Information Governance,10065,Data Pipeline and Operations,101-1048-10065,End of Life,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1048,Information Governance,10195,DXC Data Governance,101-1048-10195,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1048,Information Governance,10209,Personal Data Discovery,101-1048-10209,End of Life,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1048,Information Governance,10653,DXC Ethics and Compliance of AI ,101-1048-10653,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-102-1003,Analytics & Engineering,Data-Driven Insights & Decisions,Analytics,101,Analytics,1048,Information Governance,10654,DXC Content Management,101-1048-10654,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
12-103-1006,Applications,Modernized Applications,App Management,102,Application Services,1008,Application Management services,10014,DXC Application Service Automation,102-1008-10014,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
12-103-1006,Applications,Modernized Applications,App Management,102,Application Services,1008,Application Management services,10771,DXC Application Management Advisory,102-1008-10771,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
12-103-1006,Applications,Modernized Applications,App Management,102,Application Services,1008,Application Management services,10773,DXC Application Management for Hybrid,102-1008-10773,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
12-103-1005,Applications,Modernized Applications,App Modernization,102,Application Services,1156,Application Modernization,10187,DXC Mainframe Modernization,102-1156-10187,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
12-103-1005,Applications,Modernized Applications,App Modernization,102,Application Services,1156,Application Modernization,10712,DXC Transformation Advisory,102-1156-10712,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1001,Analytics & Engineering,Digitally Engineered Enterprise,Engineering,102,Application Services,1155,Blockchain (restricted),10705,Blockchain (restricted) - PLACEHOLDER,102-1155-10705,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
12-103-1004,Applications,Modernized Applications,Modern App Dev,102,Application Services,1142,Modern Application Development,10023,DXC Application Integration Services,102-1142-10023,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
12-103-1004,Applications,Modernized Applications,Modern App Dev,102,Application Services,1142,Modern Application Development,10239,DXC Digital Design and Development,102-1142-10239,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
12-103-1004,Applications,Modernized Applications,Modern App Dev,102,Application Services,1142,Modern Application Development,10399,DXC Application Security,102-1142-10399,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
12-103-1004,Applications,Modernized Applications,Modern App Dev,102,Application Services,1142,Modern Application Development,10400,DXC DevSecOps  Services,102-1142-10400,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
12-103-1004,Applications,Modernized Applications,Modern App Dev,102,Application Services,1142,Modern Application Development,10770,DXC Cloud Application Development Services,102-1142-10770,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
12-103-1007,Applications,Modernized Applications,Testing & Assurance,102,Application Services,1088,Testing and Digital Assurance,10256,DXC Testing and Digital Assurance,102-1088-10256,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1032,Other,Business Process Services,Process Automation,103,Business Process Services,1001,Agile Process Automation,10405,DXC Agile Process Automation,103-1001-10405,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1032,Other,Business Process Services,Process Automation,103,Business Process Services,1001,Agile Process Automation,10608,DXC Digital Agent Services ,103-1001-10608,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1032,Other,Business Process Services,Process Automation,103,Business Process Services,1001,Agile Process Automation,10656,DXC Free Digital Banking,103-1001-10656,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1032,Other,Business Process Services,Process Automation,103,Business Process Services,1001,Agile Process Automation,10670,DXC Digital Consumer Loan Processing ,103-1001-10670,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1032,Other,Business Process Services,Process Automation,103,Business Process Services,1001,Agile Process Automation,10713,DXC Agile Intelligent Agent ,103-1001-10713,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1033,Other,Business Process Services,Cards & Payments,103,Business Process Services,1015,Cards and Payments Services,10301,DXC Cards and Payment Card Issuing,103-1015-10301,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1033,Other,Business Process Services,Cards & Payments,103,Business Process Services,1015,Cards and Payments Services,10302,DXC Cards and Payment Merchant Acquiring,103-1015-10302,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1033,Other,Business Process Services,Cards & Payments,103,Business Process Services,1015,Cards and Payments Services,10406,DXC Consumer Loan Processing,103-1015-10406,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1036,Other,Business Process Services,Customer Experience,103,Business Process Services,1025,Customer Experience,10306,DXC Customer Experience Services,103-1025-10306,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1036,Other,Business Process Services,Customer Experience,103,Business Process Services,1025,Customer Experience,10307,DXC Customer Experience Transformation Services,103-1025-10307,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1036,Other,Business Process Services,Customer Experience,103,Business Process Services,1025,Customer Experience,10657,DXC Digital Communications as a Service,103-1025-10657,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1036,Other,Business Process Services,Customer Experience,103,Business Process Services,1025,Customer Experience,10775,DXC eSupply Chain Services,103-1025-10775,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1035,Other,Business Process Services,Finance & Admin,103,Business Process Services,1037,Finance and Administration Services,10298,DXC Order to Cash Services,103-1037-10298,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1035,Other,Business Process Services,Finance & Admin,103,Business Process Services,1037,Finance and Administration Services,10310,DXC Framework for Innovation and Transformation,103-1037-10310,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1035,Other,Business Process Services,Finance & Admin,103,Business Process Services,1037,Finance and Administration Services,10318,DXC Record to Report Services,103-1037-10318,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1035,Other,Business Process Services,Finance & Admin,103,Business Process Services,1037,Finance and Administration Services,10322,DXC Source to Pay Services,103-1037-10322,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1035,Other,Business Process Services,Finance & Admin,103,Business Process Services,1037,Finance and Administration Services,10722, DXC Financial Planning and Analysis,103-1037-10722,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
15-108-1034,Other,Business Process Services,HR & Payroll,103,Business Process Services,1046,HR and Payroll Services,10159,DXC Digital HR Services,103-1046-10159,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1015,Cloud & Security,Modernized Infrastructure,Platform & Integration,104,Cloud and Platform Services,1027,Alibaba Cloud Services,10408,DXC Managed Services for Alibaba Cloud,104-1027-10408,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1017,Cloud & Security,Modernized Infrastructure,AWS Cloud,104,Cloud and Platform Services,1011,AWS Cloud Services,10336,DXC Managed Services for AWS ,104-1011-10336,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1017,Cloud & Security,Modernized Infrastructure,AWS Cloud,104,Cloud and Platform Services,1011,AWS Cloud Services,10409,DXC AWS Cloud Services Resale,104-1011-10409,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1018,Cloud & Security,Modernized Infrastructure,Azure Cloud,104,Cloud and Platform Services,1012,Azure Cloud Services,10192,DXC Managed Services for Microsoft Azure,104-1012-10192,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1018,Cloud & Security,Modernized Infrastructure,Azure Cloud,104,Cloud and Platform Services,1012,Azure Cloud Services,10337,DXC Managed Services for Microsoft Azure Stack,104-1012-10337,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1014,Cloud & Security,Modernized Infrastructure,IT Strategy,104,Cloud and Platform Services,1018,Cloud and Platform Advisory Solutions,10620,DXC Cloud and Workload Advisory Services,104-1018-10620,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1023,Continuity Services,10291,DXC Continuity Advisory Services,104-1023-10291,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1023,Continuity Services,10292,DXC Continuity Program Management,104-1023-10292,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1023,Continuity Services,10295,DXC Data Center Recovery Services,104-1023-10295,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1023,Continuity Services,10417,DXC Managed Continuity Service powered by Microsoft,104-1023-10417,End of Life,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1025,IT Outsourcing,Resilient Operations,Hardware / Software,104,Cloud and Platform Services,1145,CPS - Hardware and Software Resale,10655,DXC CPS - Hardware and Software Resale,104-1145-10655,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1135,Datacenter and Infrastructure Project Services,10602,Datacenter and Infrastructure Project Services,104-1135-10602,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1019,Cloud & Security,Modernized Infrastructure,Google Cloud,104,Cloud and Platform Services,1140,Google Cloud Services,10627,DXC Managed Services for Google Cloud Platform,104-1140-10627,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1015,Cloud & Security,Modernized Infrastructure,Platform & Integration,104,Cloud and Platform Services,1051,Integration Solutions,10418,DXC Agility Platform Services,104-1051-10418,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1015,Cloud & Security,Modernized Infrastructure,Platform & Integration,104,Cloud and Platform Services,1051,Integration Solutions,10419,DXC Hybrid IT Integration Solutions (HITS),104-1051-10419,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1057,Mainframe Services,10190,DXC Managed Mainframe Services,104-1057-10190,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1015,Cloud & Security,Modernized Infrastructure,Platform & Integration,104,Cloud and Platform Services,1059,Managed Container Platform as a Service,10335,DXC Managed Container PaaS Powered by Red Hat OpenShift,104-1059-10335,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1062,Midrange Services,10191,DXC Managed Midrange Services,104-1062-10191,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1062,Midrange Services,10753,DXC Colocation Services,104-1062-10753,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1014,Cloud & Security,Modernized Infrastructure,IT Strategy,104,Cloud and Platform Services,1019,Migration Services,10290,DXC Migration Services,104-1019-10290,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1014,Cloud & Security,Modernized Infrastructure,IT Strategy,104,Cloud and Platform Services,1019,Migration Services,10708,QuickStarts-DXC Migration Services for Azure,104-1019-10708,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
