offeringFamily,majorOffering,subOffering
Analytics,Analytics Advisory,Analytics Advisory
Analytics,Analytics Advisory,Analytics Consulting
Analytics,Analytics Advisory,Big Data Discovery Experience Services
Analytics,Analytics Advisory,Big Data and Analytics Strategy
Analytics,Analytics Advisory,Business Intelligence Modernization Strategy and Planning Services
Analytics,Analytics Advisory,Business Intelligence Modernization Workshop Services
Analytics,Analytics Advisory,UXC Professional Solutions BD&A
Analytics,Analytics Solutions and Services,Analytics Consulting
Analytics,Analytics Solutions and Services,Analytics Solutions and Services
Analytics,Analytics Solutions and Services,Foresight Situational Awareness Solution
Analytics,Analytics Solutions and Services,Industrialized Advanced Analytics
Analytics,Analytics Solutions and Services,Interactive Media Command Center (IMCC) Solution
Analytics,Analytics Solutions and Services,Managed Analytic Services
Analytics,Analytics Solutions and Services,Predictive Maintenance Analytics
Analytics,Analytics Solutions and Services,Spend Analytics
Analytics,Analytics Solutions and Services,Warranty Analytics - Early Defect Detection
Analytics,Analytics Solutions and Services,XChanging Big Data and Analytics
Analytics,Analytics and AI Platform Services,Analytics and AI Platform Services
Analytics,Analytics and AI Platform Services,As a Service Solution for Hadoop
Analytics,Analytics and AI Platform Services,DXC Analytics and AI Platform
Analytics,Analytics and AI Platform Services,Data Workload Optimization Services
Analytics,Analytics and AI Platform Services,Hybrid Data Management Architecture Services
Analytics,Analytics and AI Platform Services,Platforms - Cloud and On Prem
Analytics,Analytics and AI Solutions,Analytics Consulting
Analytics,Analytics and AI Solutions,Analytics and AI Solutions
Analytics,Analytics and AI Solutions,Analytics and AI Solutions
Analytics,Analytics and AI Solutions,DXC Omnilocation
Analytics,Analytics and AI Solutions,Foresight Situational Awareness Solution
Analytics,Analytics and AI Solutions,Interactive Media Command Center (IMCC) Solution
Analytics,Analytics and AI Solutions,IoT Analytics
Analytics,Analytics and AI Solutions,IoT Analytics
Analytics,Analytics and AI Solutions,IoT Analytics Solutions
Analytics,Analytics and AI Solutions,IoT Services
Analytics,Analytics and AI Solutions,IoT Services
Analytics,Analytics and AI Solutions,Managed Analytic Services
Analytics,Analytics and AI Solutions,Predictive Maintenance Analytics
Analytics,Analytics and AI Solutions,Spend Analytics
Analytics,Analytics and AI Solutions,Warranty Analytics - Early Defect Detection
Analytics,Analytics and Big Data Platform,Analytics and Big Data Platform
Analytics,Analytics and Big Data Platform,As a Service Solution for Hadoop
Analytics,Analytics and Big Data Platform,DXC Analytics Platform
Analytics,Analytics and Big Data Platform,Data Workload Optimization Services
Analytics,Analytics and Big Data Platform,Hybrid Data Management Architecture Services
Analytics,Analytics and Big Data Platform,Platforms - Cloud and On Prem
Analytics,Artificial Intelligence and IoT Analytics,Artificial Intelligence and IoT Analytics
Analytics,Artificial Intelligence and IoT Analytics,DXC OmniLocation
Analytics,Artificial Intelligence and IoT Analytics,DXC Omnilocation
Analytics,Artificial Intelligence and IoT Analytics,IoT Analytics Solutions
Analytics,Information Governance,Content and Records Management Services
Analytics,Information Governance,Data Classification Services
Analytics,Information Governance,Data Pipeline and Operations
Analytics,Information Governance,Information Governance
Analytics,Information Governance,Personal Data Discovery
Analytics,IoT Analytics,Analytics Consulting
Analytics,IoT Analytics,Analytics and AI Solutions
Analytics,IoT Analytics,Analytics and AI Solutions
Analytics,IoT Analytics,DXC Omnilocation
Analytics,IoT Analytics,Interactive Media Command Center (IMCC) Solution
Analytics,IoT Analytics,IoT Analytics
Analytics,IoT Analytics,IoT Analytics
Analytics,IoT Analytics,IoT Analytics Solutions
Analytics,IoT Analytics,Managed Analytic Services
Analytics,IoT Analytics,Predictive Maintenance Analytics
Analytics,IoT Analytics,Spend Analytics
Analytics,IoT Analytics,Warranty Analytics - Early Defect Detection
Analytics,IoT Services,Analytics Consulting
Analytics,IoT Services,Analytics and AI Solutions
Analytics,IoT Services,Analytics and AI Solutions
Analytics,IoT Services,DXC Omnilocation
Analytics,IoT Services,Foresight Situational Awareness Solution
Analytics,IoT Services,Interactive Media Command Center (IMCC) Solution
Analytics,IoT Services,IoT Analytics Solutions
Analytics,IoT Services,IoT Services
Analytics,IoT Services,IoT Services
Analytics,IoT Services,Managed Analytic Services
Analytics,IoT Services,Predictive Maintenance Analytics
Analytics,IoT Services,Spend Analytics
Analytics,IoT Services,Warranty Analytics - Early Defect Detection
Analytics,Managed BI and Analytics,Business Intelligence Modernization Services
Analytics,Managed BI and Analytics,Enterprise Data Warehousing Services
Analytics,Managed BI and Analytics,Managed BI and Analytics
Analytics,Managed BI and Analytics,Managed Business Intelligence Services
Analytics,Managed BI and Analytics,Master Data Management Services
Application Services,Applications Development,Agile Applications Development
Application Services,Applications Development,Applications Development
Application Services,Applications Development,Applications Security
Application Services,Applications Development,Business and Application Integration Services
Application Services,Applications Development,Business and Applications Integration Services
Application Services,Applications Development,DXC Mainframe and Legacy Modernization
Application Services,Applications Development,Mainframe and Legacy Modernization
Application Services,Applications Development,Rapid Digital Delivery
Application Services,Applications Development,SPLIT - Digital Development Services
Application Services,Applications Management Services,Applications Management Services
Application Services,Applications Management Services,Testing and Digital Assurance
Application Services,Testing and Digital Assurance,Testing and Digital Assurance
Business Process Services,Agile Process Automation,Agile Process Automation
Business Process Services,Agile Process Automation,Agile Process Automation
Business Process Services,Agile Process Automation,Agile Process Automation
Business Process Services,Agile Process Automation,Agile Process Automation
Business Process Services,Business Process Services Advisory,Business Process Services Advisory
Business Process Services,Business Process Services Advisory,Customer Experience (CX) - Transformation Services
Business Process Services,Business Process Services Advisory,Framework for Innovation and Transformation
Business Process Services,Business Process Services Advisory,"Mergers, Acquisitions &amp; Divestitures Advisory Services"
Business Process Services,Cards and Payments Services,Cards and Payments Services
Business Process Services,Cards and Payments Services,Commercial Cards Services
Business Process Services,Cards and Payments Services,Consumer Card Services
Business Process Services,Cards and Payments Services,DXC Consumer Loan Processing
Business Process Services,Cards and Payments Services,Merchant Acquirer Services
Business Process Services,Cards and Payments Services,Prepaid Card Services
Business Process Services,Cards and Payments Services,Secure Payment Services
Business Process Services,Cards and Payments Services,Surveyor Application Processing Services
Business Process Services,Customer Experience,Customer Experience
Business Process Services,Customer Experience,Customer Experience (CX) - Analytic Services
Business Process Services,Customer Experience,Customer Experience (CX) - Omnichannel Services
Business Process Services,Customer Experience,Customer Experience (CX) - Transformation  Services
Business Process Services,Customer Experience,Customer Experience (CX) - Transformation Services
Business Process Services,Customer Experience,Customer Experience (CX) On Demand
Business Process Services,Customer Experience,Customer Experience (CX) Services
Business Process Services,Customer Experience,DXC Digital Agent Services
Business Process Services,Customer Experience,Warranty Services
Business Process Services,Digitization,Consumer Direct Services
Business Process Services,Digitization,Customer Communications Management Services
Business Process Services,Digitization,Digitization
Business Process Services,Digitization,Digitization Services
Business Process Services,Finance and Administration Services,Finance and Administration Services
Business Process Services,Finance and Administration Services,Finance and Administration Services - Analytics Services
Business Process Services,Finance and Administration Services,Finance and Administration Services - Order-to-Cash Services
Business Process Services,Finance and Administration Services,Finance and Administration Services - Record-to-Report Services
Business Process Services,Finance and Administration Services,Finance and Administration Services - Source-to-Pay Services
Business Process Services,Finance and Administration Services,Framework for Innovation and Transformation
Business Process Services,Finance and Administration Services,Procurement Services
Business Process Services,Finance and Administration Services,e-Supply Chain Solutions
Business Process Services,HR and Payroll Services,HR and Payroll Services
Business Process Services,HR and Payroll Services,Human Resource and Payroll Services
Cloud and Platform Services,AWS Cloud Services,AWS Cloud Services
Cloud and Platform Services,AWS Cloud Services,DXC Managed Services for AWS
Cloud and Platform Services,Alibaba Cloud Services,Alibaba Cloud Services
Cloud and Platform Services,Azure Cloud Services,Azure Cloud Services
Cloud and Platform Services,Azure Cloud Services,DXC Managed Services for Microsoft Azure
Cloud and Platform Services,Azure Cloud Services,DXC Managed Services for Microsoft Azure Stack
Cloud and Platform Services,Campus and Connectivity Networks,Campus and Connectivity Networks
Cloud and Platform Services,Campus and Connectivity Networks,Managed Connectivity Services
Cloud and Platform Services,Campus and Connectivity Networks,Managed Local Area Network Services
Cloud and Platform Services,Campus and Connectivity Networks,Managed Software Defined Network Services
Cloud and Platform Services,Campus and Connectivity Networks,Managed Wide Area Network Services
Cloud and Platform Services,Campus and Connectivity Networks,Network Services
Cloud and Platform Services,Cloud and Platform Advisory Solutions,AMT Advisory
Cloud and Platform Services,Cloud and Platform Advisory Solutions,Business Continuity Program Risk Assessment
Cloud and Platform Services,Cloud and Platform Advisory Solutions,Business Impact Analysis
Cloud and Platform Services,Cloud and Platform Advisory Solutions,ClearTransformation IT Operating Model
Cloud and Platform Services,Cloud and Platform Advisory Solutions,Cloud and Platform Advisory Solutions
Cloud and Platform Services,Cloud and Platform Advisory Solutions,Cloud and Workload Advisory Services
Cloud and Platform Services,Cloud and Platform Advisory Solutions,DXC Cloud and Workload Advisory Services
Cloud and Platform Services,Cloud and Platform Advisory Solutions,Executive Conversation
Cloud and Platform Services,Cloud and Platform Advisory Solutions,HPE Helion Professional Services for Public Sector Cloud Broker
Cloud and Platform Services,Cloud and Platform Advisory Solutions,Service Integration and Management Advisory
Cloud and Platform Services,Cloud and Platform Advisory Solutions,Transformation Acceleration Workshop
Cloud and Platform Services,Cloud and Platform Modernization and Transformation Solutions,Application Services for Public Clouds
Cloud and Platform Services,Cloud and Platform Modernization and Transformation Solutions,Applications Modernization and Transformation
Cloud and Platform Services,Cloud and Platform Modernization and Transformation Solutions,Cloud and Platform Modernization and Transformation Solutions
Cloud and Platform Services,Cloud and Platform Modernization and Transformation Solutions,Cloud and Workload Migration Services
Cloud and Platform Services,Cloud and Platform Modernization and Transformation Solutions,Mainframe and Legacy Modernization
Cloud and Platform Services,Cloud and Platform Modernization and Transformation Solutions,SPLIT - Applications Modernization and Transformation
Cloud and Platform Services,Continuity Services,Continuity Advisory Services
Cloud and Platform Services,Continuity Services,Continuity Program Management
Cloud and Platform Services,Continuity Services,Continuity Services
Cloud and Platform Services,Continuity Services,DXC Continuity Advisory Services
Cloud and Platform Services,Continuity Services,DXC Continuity Program Management
Cloud and Platform Services,Continuity Services,DXC Data Center Recovery Services
Cloud and Platform Services,Continuity Services,DXC Managed Continuity Service powered by Microsoft
Cloud and Platform Services,Continuity Services,Data Center Recovery Services
Cloud and Platform Services,Continuity Services,HPE Helion and Veritas Continuity
Cloud and Platform Services,Integration Solutions,CSC Hybrid Cloud Services
Cloud and Platform Services,Integration Solutions,DXC Agility Platform
Cloud and Platform Services,Integration Solutions,DXC Hybrid IT Integration Solutions (HITS)
Cloud and Platform Services,Integration Solutions,HPE Helion Managed Cloud Broker
Cloud and Platform Services,Integration Solutions,Hybrid IT Integration Solutions
Cloud and Platform Services,Integration Solutions,Integration Solutions
Cloud and Platform Services,Mainframe Services,DXC Managed Mainframe Services
Cloud and Platform Services,Mainframe Services,Mainframe Services
Cloud and Platform Services,Mainframe Services,Managed Mainframe Services
Cloud and Platform Services,Managed Container Platform as a Service,DXC Managed Container PaaS powered by Red Hat OpenShift
Cloud and Platform Services,Managed Container Platform as a Service,Managed Container Platform as a Service
Cloud and Platform Services,Midrange Services,Colocation Services
Cloud and Platform Services,Midrange Services,DXC Managed Midrange Services
Cloud and Platform Services,Midrange Services,Data Center Co-Location Service
Cloud and Platform Services,Midrange Services,Managed Midrange Services
Cloud and Platform Services,Midrange Services,Midrange Services
